"GROUP","STN","NAME","ELEV_M","HOUR_KST","N_PAIRED_HOURS","MAE_BEFORE_C","MAE_AFTER_C","MAE_IMPROVEMENT_C"
"4","316","무등산","911.53","21","365","4.083471601572958","1.8136314683896821","2.269840133183276"
"4","316","무등산","911.53","22","365","3.646379182567692","2.216977805509454","1.4294013770582383"
"4","316","무등산","911.53","23","365","3.3580578970936843","2.554705112812878","0.8033527842808064"
"5","869","영실","1260.2","0","359","1.3536309131035524","0.8857958654818409","0.4678350476217116"
"5","869","영실","1260.2","1","359","1.3430394272958945","0.8931857118389196","0.44985371545697495"
"5","869","영실","1260.2","2","359","1.3979271752161724","0.9144211651864113","0.4835060100297611"
"5","869","영실","1260.2","3","359","1.3547174596280274","0.8561112197893972","0.49860623983863017"
"5","869","영실","1260.2","4","358","1.4390220378328586","0.9322393434414838","0.5067826943913748"
"5","869","영실","1260.2","5","358","1.375176592001924","0.9011067229574202","0.4740698690445039"
"5","869","영실","1260.2","6","358","1.406452537450867","0.9298600608772936","0.4765924765735734"
"5","869","영실","1260.2","7","357","1.4580353737884362","1.1251639497662023","0.3328714240222339"
"5","869","영실","1260.2","8","358","1.4140996026889066","1.1642679402479938","0.2498316624409127"
"5","869","영실","1260.2","9","357","1.2646691093725513","0.9389821093921438","0.3256869999804075"
"5","869","영실","1260.2","10","357","1.2390283668229871","0.7609085333575569","0.4781198334654302"
"5","869","영실","1260.2","11","358","1.237968546154994","0.7804054991598766","0.4575630469951175"
"5","869","영실","1260.2","12","358","1.2149570872551698","0.7536250502365289","0.4613320370186409"
"5","869","영실","1260.2","13","358","1.2458397368191467","0.7090229499428814","0.5368167868762653"
"5","869","영실","1260.2","14","358","1.242519496011277","0.6610874490901374","0.5814320469211397"
"5","869","영실","1260.2","15","358","1.2949919081395034","0.6366798478308843","0.6583120603086191"
"5","869","영실","1260.2","16","357","1.3606458178812155","0.7000064932047582","0.6606393246764574"
"5","869","영실","1260.2","17","358","1.4289850529810944","0.6661320131660853","0.7628530398150091"
"5","869","영실","1260.2","18","359","1.5000980996629427","0.7332575002502996","0.7668405994126432"
"5","869","영실","1260.2","19","359","1.4126717798500734","0.7713309482981918","0.6413408315518816"
"5","869","영실","1260.2","20","359","1.343428424269217","0.8018335702635555","0.5415948540056614"
"5","869","영실","1260.2","21","359","1.3554607132806187","0.8695522081536641","0.4859085051269546"
"5","869","영실","1260.2","22","359","1.3647026922833576","0.9103053744810684","0.4543973178022892"
"5","869","영실","1260.2","23","359","1.399560729994545","0.8644441717659976","0.5351165582285473"
"6","867","삼각봉","1503.33","0","365","1.2093933903289111","1.2795450128867347","-0.07015162255782359"
"6","867","삼각봉","1503.33","1","365","1.1822409602669546","1.2443590117196175","-0.062118051452662915"
"6","867","삼각봉","1503.33","2","365","1.1541917044820236","1.2143936927768635","-0.060201988294839914"
"6","867","삼각봉","1503.33","3","365","1.146752185301301","1.2228306718217836","-0.07607848652048266"
"6","867","삼각봉","1503.33","4","365","1.1645059759192713","1.2248304620385786","-0.0603244861193073"
"6","867","삼각봉","1503.33","5","365","1.1090410441953742","1.1547217868147719","-0.045680742619397696"
"6","867","삼각봉","1503.33","6","364","1.1378457296275877","1.1868277767136577","-0.04898204708607001"
"6","867","삼각봉","1503.33","7","365","0.9757547162852287","1.0239831831932977","-0.048228466908069034"
"6","867","삼각봉","1503.33","8","365","0.7828599362234828","0.7409852513826803","0.04187468484080248"
"6","867","삼각봉","1503.33","9","365","0.7194765013455948","0.6175558869290676","0.10192061441652722"
"6","867","삼각봉","1503.33","10","365","0.7851097650435909","0.6387516874739261","0.1463580775696648"
"6","867","삼각봉","1503.33","11","365","0.867731338940192","0.6895751900506509","0.17815614888954112"
"6","867","삼각봉","1503.33","12","364","0.8975833362833607","0.6518459685178127","0.245737367765548"
"6","867","삼각봉","1503.33","13","365","0.8944819851216579","0.6686614670901039","0.225820518031554"
"6","867","삼각봉","1503.33","14","365","0.8806035535228002","0.6306969263881385","0.24990662713466172"
"6","867","삼각봉","1503.33","15","365","0.9177034239707854","0.6385110358503681","0.27919238812041736"
"6","867","삼각봉","1503.33","16","365","0.9252318738082129","0.6469438806641464","0.2782879931440665"
"6","867","삼각봉","1503.33","17","365","0.8109314017916902","0.5629903137570698","0.24794108803462045"
"6","867","삼각봉","1503.33","18","365","0.7415974499948874","0.5590649437092748","0.18253250628561257"
"6","867","삼각봉","1503.33","19","365","0.7952010834988347","0.7317319123772137","0.06346917112162098"
"6","867","삼각봉","1503.33","20","365","0.9955601600939118","1.0237081053211405","-0.028147945227228743"
"6","867","삼각봉","1503.33","21","365","1.115485831920411","1.1487840690949909","-0.0332982371745798"
"6","867","삼각봉","1503.33","22","365","1.1506265129038487","1.194410964741338","-0.04378445183748925"
"6","867","삼각봉","1503.33","23","365","1.1644365420206304","1.2412952989657233","-0.07685875694509292"
