ELEVATION_BAND,HOUR,N_STATIONS,NONE_N_PAIRED_HOURS,NONE_BIAS_MEDIAN_C,NONE_BIAS_Q25_C,NONE_BIAS_Q75_C,NONE_BIAS_IQR_C,NONE_MAE_MEDIAN_C,NONE_MAE_Q25_C,NONE_MAE_Q75_C,NONE_MAE_IQR_C,NONE_RMSE_MEDIAN_C,NONE_RMSE_Q25_C,NONE_RMSE_Q75_C,NONE_RMSE_IQR_C,FIXED_N_PAIRED_HOURS,FIXED_BIAS_MEDIAN_C,FIXED_BIAS_Q25_C,FIXED_BIAS_Q75_C,FIXED_BIAS_IQR_C,FIXED_MAE_MEDIAN_C,FIXED_MAE_Q25_C,FIXED_MAE_Q75_C,FIXED_MAE_IQR_C,FIXED_RMSE_MEDIAN_C,FIXED_RMSE_Q25_C,FIXED_RMSE_Q75_C,FIXED_RMSE_IQR_C
100m 미만,22,315,114037,-0.178320806524653,-0.6536348173577036,0.3946626623722686,1.0482974797299722,0.8280873458137443,0.6453799941213328,1.1283137213227898,0.482933727201457,1.0721191782302262,0.8579814965939847,1.4101506848686132,0.5521691882746285,114037,0.034591124183139574,-0.3944199170600523,0.5489364835946928,0.9433564006547451,0.7973006146840117,0.6387017789317146,1.0396847843008694,0.40098300536915477,1.0604552236559546,0.8271433834826674,1.37037461898897,0.5432312355063027
100m 미만,23,315,114039,-0.17934828152106608,-0.6449908850912109,0.4163700265451459,1.0613609116363567,0.8283125478978628,0.6459574918812715,1.1232322161812704,0.47727472429999895,1.0863135105714532,0.854923804778696,1.4180647866519038,0.5631409818732078,114039,0.06997884507962869,-0.37533112755703235,0.5628925772706757,0.938223704827708,0.8191917832407992,0.6344178834342987,1.0693846027958547,0.43496671936155595,1.0641240630297824,0.8448075931464687,1.4000779180407505,0.5552703248942819
100~500m 미만,0,158,57181,-0.14012434565679632,-0.5883745785505072,0.48870521081552465,1.077079789366032,0.9339624388590884,0.696733730198952,1.2963960680754423,0.5996623378764903,1.2040668140265507,0.9236125899989635,1.5767082444111225,0.653095654412159,57181,0.13777765241486578,-0.28024448080169195,0.5642573731107532,0.8445018539124451,0.8229330010529612,0.650768744296787,1.119012866647937,0.4682441223511501,1.09684011941519,0.8769262657843284,1.5333562492035742,0.6564299834192457
100~500m 미만,1,158,57209,-0.107953085938507,-0.5809158051011758,0.49628635901453444,1.0772021641157101,0.9216217911140409,0.6981345406332924,1.3168698012308617,0.6187352605975693,1.199554753670507,0.9229523496756292,1.5798021389081167,0.6568497892324875,57209,0.14809518763803642,-0.3110063498405567,0.5788061474319133,0.8898124972724699,0.841236997778992,0.6429980024050597,1.1266996289974593,0.4837016265923997,1.1013015428896997,0.8760910314725222,1.5207105999757375,0.6446195685032153
100~500m 미만,2,158,57191,-0.10031423250014143,-0.6063752857701268,0.47565026476012656,1.0820255505302534,0.9436389032833667,0.6958764364223405,1.2822148191416556,0.586338382719315,1.1991833388109852,0.9204483378036841,1.5756972632175876,0.6552489254139036,57191,0.18304789558762571,-0.3244857846758327,0.6184932865039809,0.9429790711798136,0.8492251223795986,0.6512117092564028,1.1433851913156008,0.492173482059198,1.115807916702972,0.8647851082799216,1.4857916790988617,0.6210065708189401
100~500m 미만,3,158,57184,-0.08204545442369363,-0.5900289508239207,0.46527684292883487,1.0553057937527557,0.9627355499626682,0.7056099095549362,1.3148156966995677,0.6092057871446315,1.2027638658030861,0.9161406889644803,1.6009321106427539,0.6847914216782736,57184,0.1908417674338138,-0.31331571437038225,0.6458889584492559,0.9592046728196382,0.8492431917182389,0.6450096598872374,1.1598576516486692,0.5148479917614318,1.1104463792822963,0.8821585426134487,1.5171068324053403,0.6349482897918916
100~500m 미만,4,158,57177,-0.06616381453878398,-0.6022237999265846,0.48959667431653925,1.091820474243124,0.9522904404638877,0.7030987034817876,1.2953511402393172,0.5922524367575296,1.1946366329078761,0.9349697244322819,1.632216090175841,0.697246365743559,57177,0.171959950651296,-0.33935249526667266,0.6582602805726774,0.99761277583935,0.8510531632168118,0.6436661261810283,1.1477025073167229,0.5040363811356946,1.1209302366525487,0.8828541436411105,1.5394000688160039,0.6565459251748934
100~500m 미만,5,158,57169,-0.05716478283906076,-0.5965743175914212,0.4973475333916208,1.093921850983042,0.9488221958997101,0.7050127847514899,1.289146251960998,0.5841334672095081,1.193399114047571,0.934141442694413,1.624838627585322,0.6906971848909089,57169,0.20721595589890995,-0.3855943917420832,0.6595296060790419,1.045123997821125,0.8624585029484801,0.6654079732806153,1.1648496651419995,0.4994416918613842,1.139153134351173,0.9020897755465633,1.5250350786009566,0.6229453030543932
100~500m 미만,6,158,57183,-0.0400808970769148,-0.5783799736723471,0.5112849075676444,1.0896648812399916,0.924311622442421,0.7073351404922159,1.3071911549563549,0.5998560144641389,1.2028224015343176,0.9310486540194499,1.6175062088928571,0.6864575548734072,57183,0.17723027062817942,-0.34311769913641366,0.6605476891720474,1.0036653883084612,0.8575616592996986,0.6606020723719916,1.1543072517374982,0.4937051793655065,1.147918206641477,0.8974601221189025,1.521649132858586,0.6241890107396835
100~500m 미만,7,158,57180,-0.08655913704276273,-0.5532557986562168,0.5105248962582783,1.0637806949144952,0.9142398940130068,0.6724212853278806,1.3358449427799803,0.6634236574520997,1.1912396226992483,0.9040266553744323,1.6408053719288447,0.7367787165544124,57180,0.13974817801932876,-0.24559136333383905,0.5636494805333045,0.8092408438671436,0.8422179454471715,0.6321682103528581,1.093952985046554,0.46178477469369583,1.1244270671147338,0.864958309696217,1.5526343931894186,0.6876760834932016
